form	count	curated
jaus	2	
sammua	2	
jassa	2	
genesareth	2	
oollam	2	
gethæum	2	
eliud	2	
sedecia	2	
lydii	2	
bethanath	2	
jasonem	2	
jerusa	2	
jethran	2	
sabaim	2	
abisur	2	
meselemiæ	2	
ælamitæ	2	
bethlehemitem	2	
ceneroth	2	
gaddi	2	
eliaba	2	
hobab	2	
arama	2	
mysiam	2	
cethæa	2	
ijeabarim	2	
hachamoni	2	
merodach	2	
palæstinarum	2	
jechelia	2	
lysimacho	2	
sephama	2	
phochereth	2	
sophach	2	
zamma	2	
zaræ	2	
hamon	2	
selec	2	
mathusaël	2	yes
sesach	2	
ichabod	2	
tharaa	2	
saleph	2	
abimaël	2	
decapoli	2	
jethræus	2	
bethbessen	2	
alamath	2	
jerias	2	
cozbi	2	
gadgad	2	
auran	2	
samueli	2	
maonathi	2	
ozæ	2	
barachias	2	
maacham	2	
nemrim	2	
jairus	2	
holdai	2	
amraphel	2	
badan	2	
rubenitarum	2	
sarabiam	2	
bethnemra	2	
josia	2	
eliatha	2	
naham	2	
arbee	2	
badad	2	
betharan	2	
achim	2	
herodiadem	2	
samri	2	
egla	2	
giblii	2	
zavan	2	
nephtoa	2	
josephum	2	
juchal	2	
assurim	2	
melchi	2	
bagatha	2	
amorrhæo	2	
mempheos	2	
suni	2	
nicolaitarum	2	
mabsam	2	
caphtorim	2	
eldaa	2	
sirach	2	
eliphaleth	2	
amorrhæos	2	
philisthæa	2	
saphatias	2	
saaph	2	
cinæus	2	
laisa	2	
bethiesimoth	2	
ararites	2	
jezer	2	
galgalæ	2	
ressa	2	
magdalo	2	
athaliæ	2	
isaia	2	
esthon	2	
matthana	2	
zebedia	2	
mathusalam	2	yes
josabeth	2	
iconii	2	
asahel	2	
gomorrhæorum	2	
hul	2	
asarmoth	2	
ismahelites	2	
philadelphiæ	2	
jebahar	2	
benennom	2	
jeriau	2	
rebmag	2	
tarso	2	
simmaa	2	
seor	2	
jezoniam	2	
munim	2	
tychicum	2	
ptolemaidis	2	
phalaia	2	
masphe	2	
genubath	2	
zethan	2	
thecua	2	
rohobia	2	
ahiud	2	
evilmerodach	2	
hemath	2	
ludim	2	
joarib	2	
sobach	2	
siaa	2	
thanehumeth	2	
misaëli	2	
idumæum	2	
harhur	2	
phatures	2	
phenennæ	2	
gedorem	2	
jamniæ	2	
helmondeblathaim	2	
rogelim	2	
mathatha	2	
thomam	2	
senaa	2	
sisamoi	2	
hagaba	2	
hesronitarum	2	
priapi	2	
gathan	2	
jeddoa	2	
idaiæ	2	
omar	2	
eliphalu	2	
sephoram	2	
bethphage	2	
berothites	2	
gethaim	2	
cholhoza	2	
eliakim	2	
cesion	2	
thecueni	2	
engannim	2	
cappadociæ	2	
gnidum	2	
sachar	2	
ezriel	2	
meetabel	2	
eldad	2	
samaias	2	
maachathi	2	
baalpharasim	2	
lud	2	
mahida	2	
phetrusim	2	
maasias	2	
galaaditarum	2	
bethzacharam	2	
elamitarum	2	
samaræum	2	
eliphelet	2	
helem	2	
maharai	2	
aristarcho	2	
mageth	2	
sobai	2	
zebedæo	2	
sihor	2	
osaiæ	2	
thelharsa	2	
tharaca	2	
phau	2	
jacan	2	
tob	2	
madon	2	
jegbaa	2	
nesroch	2	
salim	2	
bethsaidam	2	
amorrhæis	2	
geddelthi	2	
zechur	2	
barachel	2	
raguelem	2	
sisai	2	
salomi	2	
hatil	2	
achar	2	
mabsar	2	
ophlal	2	
tabitha	2	
jedihel	2	
phathures	2	
nathinæos	2	
beelmeon	2	
apheca	2	
ramesse	2	
banaa	2	
hethæis	2	
almath	2	
matthæus	2	
leheth	2	
maceloth	2	
heled	2	
netupha	2	
ramesses	2	
asarhaddon	2	
hethalon	2	
begoai	2	
palæstini	2	
sabarim	2	
masal	2	
rohoboth	2	
trophimum	2	
amalech	2	
theophile	2	
chusan	2	
laabim	2	
hareph	2	
gehon	2	yes
salemoth	2	
gamarias	2	
ozia	2	
phinon	2	
jedaia	2	
thares	2	
phahathmoab	2	
spartiatas	2	
jacim	2	
jechonia	2	
mathiam	2	
magron	2	
elisamæ	2	
jebusæis	2	
zareitarum	2	
araba	2	
harbona	2	
oolibam	2	
daphca	2	
decla	2	
orpha	2	
pamphyliæ	2	
rasathaim	2	
gether	2	
stephano	2	
lyddæ	2	
ismaëlitis	2	
carnion	2	
loth	2	
thesbites	2	
rethma	2	
bocciau	2	
masreca	2	
astarthen	2	
bartholomæum	2	
mathat	2	
jesbaam	2	
bocru	2	
bethmaacha	2	
hacupha	2	
zelpham	2	
gineth	2	
athenobius	2	
ephrata	2	
baloth	2	
denaba	2	
caipha	2	
mesezebel	2	
hadrieli	2	
sabatha	2	
othir	2	
sichimis	2	
timothee	2	
meraritarum	2	
onesimo	2	
ulai	2	
halaa	2	
anamim	2	
thadal	2	
galaaditide	2	
asasonthamar	2	
elmodad	2	
themanorum	2	
seleuciam	2	
jada	2	
josephus	2	
semaath	2	
oziau	2	
salome	2	
gothoniel	2	
sephora	2	
onesiphori	2	
elipheleth	2	
raaia	2	
anathothites	2	
numenium	2	
adbeel	2	
rabsares	2	
benejaacan	2	
bethmarchaboth	2	
adonisedec	2	
jecmaan	2	
ismahelis	2	
hir	2	
dodanim	2	
sodomæ	2	
achsaph	2	
nephthalim	2	
azor	2	
gaber	1	
ethanim	1	
avothjair	1	
ausitidis	1	
hurai	1	
barachia	1	
tyrius	1	
jachinitarum	1	
aradon	1	
debora	1	
seirath	1	
septhai	1	
hasebias	1	
posidonium	1	
jerosolymæ	1	
sodomitæ	1	
tabbaoth	1	
bethacharam	1	
admatha	1	
baalmeon	1	
berotha	1	
seleuco	1	
elehanan	1	
messollam	1	
haruphites	1	
ceseleththabor	1	
badacer	1	
thecuath	1	
othni	1	
mitylenen	1	
loomin	1	
helladam	1	
aasbai	1	
sopater	1	
maserei	1	
selemiam	1	
odoviæ	1	
habsaniæ	1	
cabul	1	
memmius	1	
jebnaël	1	
thamnam	1	
saraitæ	1	
maara	1	
horrhæos	1	
lazare	1	
resia	1	
epaphra	1	
bechorath	1	
hapham	1	
benno	1	
myndum	1	
debboram	1	
sennaab	1	
scibboleth	1	
dabri	1	
ahasthari	1	
ozielitas	1	
pheteia	1	
besloth	1	
belsan	1	
esthaolitæ	1	
jesmachias	1	
atha	1	
scythas	1	
helcia	1	
jabel	1	yes
antipatridem	1	
asaële	1	
semmarith	1	
anathothiten	1	
anaharath	1	
izrahia	1	
nathaniam	1	
ozensara	1	
idumæas	1	
dosithei	1	
thochen	1	
somoriam	1	
jehedeia	1	
gabæ	1	
nebahaz	1	
rogommelech	1	
seleucus	1	
zemma	1	
abesan	1	
jemnaitarum	1	
aridatha	1	
saphathia	1	
dalmanutha	1	
gozam	1	
gerzi	1	
joppitæ	1	
samaan	1	
sarsachim	1	
misaam	1	
betharaba	1	
haniel	1	
sabathacha	1	
accaronitæ	1	
hezecia	1	
bethsetta	1	
sabathai	1	
misor	1	
achzib	1	
cenezæo	1	
othei	1	
pheltia	1	
jebusæorum	1	
gilonitem	1	
laad	1	
eumeni	1	
arbatis	1	
rhodocus	1	
homam	1	
sorec	1	
mesphe	1	
cuthæi	1	
cedmonæos	1	
gorgiæ	1	
scythopolitas	1	
noge	1	
asphar	1	
idida	1	
jodaiæ	1	
sephet	1	
barasa	1	
phesdomim	1	
jeseritarum	1	
phaspha	1	
beromi	1	
tharela	1	
eziel	1	
casphin	1	
samaoth	1	
emmaus	1	
abihaiel	1	
olympii	1	
merala	1	
arbellis	1	
gosem	1	
eltheco	1	
sarebias	1	
gergesæi	1	
chorræos	1	
thobiam	1	
jalel	1	
hadaia	1	
doch	1	
cenezæos	1	
berœæ	1	
hasebna	1	
philisthæis	1	
magala	1	
joëzer	1	
phutiel	1	
nethuphathi	1	
phadaiam	1	
helam	1	
semranitarum	1	
lechi	1	
asoth	1	
phatuel	1	
ptolemaidæ	1	
saananim	1	
aristobolo	1	
manahen	1	
sephata	1	
labanath	1	
arbi	1	
bethuliæ	1	
gergesæos	1	
cariathsenna	1	
mochona	1	
phashur	1	
odaiæ	1	
dorymini	1	
mosollamia	1	
phelti	1	
selaitarum	1	
bethphaleth	1	
bared	1	
haba	1	
casaiæ	1	
thehenitarum	1	
emer	1	
jebaniæ	1	
derbeus	1	
adoniamque	1	
olon	1	
pharesitarum	1	
arphasachæi	1	
noadiæ	1	
gazera	1	
lysimachus	1	
odaren	1	
hamathæum	1	
achziba	1	
machathi	1	
mespotamiam	1	
elchanan	1	
thaphsa	1	
armon	1	
carehim	1	
goliæ	1	
ephratæ	1	
abeldomum	1	
machi	1	
dibongad	1	
abigabaon	1	
ezrahita	1	
phadaiæ	1	
samaia	1	
arebba	1	
gamul	1	
suthalaitarum	1	
abdeel	1	
heleph	1	
hodsi	1	
accho	1	
bethpheses	1	
sabæis	1	
matthiam	1	
eleutherum	1	
megbis	1	
josabiæ	1	
rempham	1	
rahelaia	1	
sareda	1	
rohobiæ	1	
jojoda	1	
bethul	1	
senna	1	
elihoreph	1	
jeremiel	1	
remmomphares	1	
josaia	1	
ecbatanam	1	
jegedeliæ	1	
bannui	1	
besecath	1	
onia	1	
sarebia	1	
arecon	1	
phelelia	1	
benomi	1	
jerosolymitæ	1	
ammihel	1	
sophonias	1	
saban	1	
ahisahar	1	
jebsem	1	
ahazi	1	
jesema	1	
lebaoth	1	
manilius	1	
abran	1	
chidon	1	
gedera	1	
uzal	1	
phaleth	1	
pharida	1	
papho	1	
asarela	1	
bethrapha	1	
mecherathites	1	
halcath	1	
gazabar	1	
sephion	1	
sochoth	1	
zabadiam	1	
omrai	1	
cethlis	1	
uthai	1	
tertullus	1	
hasem	1	
sachacha	1	
agareni	1	
elcanam	1	
machmis	1	
harnapher	1	
gabaathites	1	
japhie	1	
jeraa	1	
jesba	1	
becher	1	
sicyonem	1	
bethgader	1	
odullam	1	
jeta	1	
aila	1	
baalthamar	1	
sosthenem	1	
enon	1	
jemlech	1	
salai	1	
hanniel	1	
addus	1	
